Id_1,0.962458,0.016883,0.0398865,0.017108,0.0101275,0.0279233,0.878532,0.00713553,0.0282265,0.0178249,0.0480661,0.0137659,0.108216,0.0748305,0.0380119,0.0157233,0.0165934,0.0243445,0.0279083,0.0143973,0.0192942,0.0309775,0.0218937,0.00835331,0.0141592,0.022122,0.0091513,0.00885986,0.0129374,0.032099,0.0213469,0.00715062,0.0402757,0.0213661,0.0134738,0.0273743,0.0335549,0.0411741,0.0237276,0.0276245,0.0284907,0.012186,0.00807081,0.00732658,0.0196443,0.0287729,0.0105367,0.0137513,0.0183748,0.0386663
Id_2,0.018194,0.918402,0.0393365,0.0288274,0.0193893,0.0454593,0.0172557,0.0219878,0.0294143,0.0495188,0.0751988,0.0161468,0.0351131,0.0279242,0.00691347,0.0464458,0.00193866,0.0170826,0.0287497,0.0700512,0.0243212,0.098617,0.0518376,0.0366848,0.0248313,0.0332794,0.0276108,0.0143232,0.0404754,0.0143588,0.0616848,0.0196458,0.0254451,0.0500769,0.0172248,0.197748,0.0314918,0.0212488,0.061717,0.024308,0.0586285,0.0409456,0.032368,0.031983,0.0116845,0.0196151,0.0167909,0.0257612,0.054702,0.039243
Id_3,0.0358527,0.0328106,0.827801,0.0698943,0.0424565,0.0276435,0.0370785,0.0420992,0.0533039,0.0467343,0.0904348,0.0389413,0.071241,0.0321455,0.0120159,0.0897944,0.023257,0.0358216,0.0470204,0.0717133,0.0364199,0.0229514,0.0688515,0.0581512,0.0446088,0.0553481,0.0633076,0.0365324,0.0399061,0.0181117,0.121885,0.0427325,0.0590649,0.0864583,0.0545374,0.142329,0.043202,0.0496278,0.0933495,0.0277695,0.107633,0.0568453,0.0536935,0.0298845,0.0550046,0.072487,0.0288545,0.0247985,0.0785069,0.0841025
Id_4,0.0159221,0.024896,0.0723681,0.866482,0.0632446,0.0557848,0.0165992,0.0240591,0.0740183,0.0417947,0.0496472,0.0713127,0.113505,0.0429987,0.0204603,0.0780895,0.0345798,0.0439437,0.0789965,0.113704,0.048841,0.0228313,0.0262968,0.0714558,0.052999,0.0754705,0.0578779,0.0490318,0.0707772,0.0185202,0.110968,0.0318633,0.0456776,0.0677074,0.0460591,0.100624,0.0580228,0.0262999,0.0717674,0.0554383,0.148655,0.0434662,0.0383162,0.0382941,0.0167473,0.0282644,0.0498677,0.0215407,0.0787193,0.0639851
Id_5,0.0100005,0.0177667,0.0466413,0.0671034,0.929305,0.393204,0.0114407,0.0257217,0.0640505,0.0360632,0.0340394,0.0402949,0.0448643,0.0192998,0.0247875,0.0505549,0.0283698,0.058643,0.0390147,0.079605,0.0174444,0.0207395,0.0219058,0.252525,0.0264025,0.0305828,0.0318561,0.0191455,0.0260047,0.0361973,0.0372679,0.0117687,0.0229223,0.0480231,0.0345931,0.0517176,0.0472302,0.029185,0.0772752,0.0271831,0.0860811,0.0328709,0.0213348,0.0123886,0.00580368,0.0142464,0.0309884,0.0261424,0.065036,0.066975
Id_6,0.0253073,0.0382318,0.0278725,0.0543243,0.360891,0.880199,0.0248743,0.0220771,0.079005,0.0390972,0.0584126,0.0377927,0.0490372,0.0227726,0.00979105,0.0601079,0.00379,0.0558373,0.0238561,0.0828837,0.0325326,0.0323451,0.0260423,0.196876,0.0823694,0.0719551,0.0673126,0.101043,0.0973863,0.0207749,0.102681,0.00685573,0.0376396,0.0328013,0.0296533,0.0496647,0.0310192,0.0222587,0.0442237,0.0384868,0.0381202,0.0243414,0.0249415,0.0377271,0.00800953,0.0192085,0.0571681,0.0199041,0.048958,0.0632157
Id_7,0.875055,0.015949,0.041087,0.017765,0.0115401,0.0273369,0.961635,0.0065192,0.0289301,0.0184076,0.0496373,0.0104276,0.0471643,0.065664,0.0346561,0.0161134,0.0180825,0.0251403,0.0288205,0.0158338,0.0193051,0.0325158,0.0241205,0.0108046,0.0151553,0.02348,0.0138039,0.0119455,0.0223581,0.0348276,0.0219325,0.00655015,0.0389556,0.0259762,0.0121506,0.0253953,0.0328869,0.0315761,0.0236565,0.0281218,0.0278955,0.0136706,0.00754583,0.00756607,0.0217881,0.0290775,0.0104285,0.0114759,0.0164508,0.0357966
Id_8,0.00757577,0.0216624,0.0497255,0.027446,0.0276554,0.0258621,0.00694892,0.91022,0.0262181,0.0409983,0.0509376,0.0090386,0.0446062,0.0238524,0.00689351,0.0735967,0.00997517,0.00623373,0.0194215,0.0505431,0.0400954,0.0183881,0.0459279,0.0387779,0.104056,0.0367736,0.0255554,0.0239134,0.03319,0.0210285,0.0409664,0.0350281,0.0248317,0.0390603,0.029772,0.103449,0.0186521,0.0304743,0.0696547,0.0289718,0.0657813,0.0227777,0.0588554,0.0142481,0.0325298,0.0494673,0.0269338,0.00526767,0.0528004,0.101419
Id_9,0.0268182,0.0259331,0.0563426,0.0755634,0.0616275,0.0828225,0.027596,0.0234625,0.927364,0.0407363,0.0562044,0.0398167,0.0656776,0.0285036,0.0152232,0.0521924,0.0117993,0.554741,0.0458761,0.0626006,0.0499693,0.022435,0.0384006,0.0304773,0.0234631,0.054337,0.0371222,0.027516,0.0406513,0.0205298,0.0559441,0.0175817,0.025179,0.0455976,0.0271582,0.0605078,0.0334746,0.0227638,0.0725015,0.0614077,0.0721549,0.0363689,0.0223875,0.0181654,0.0347828,0.0606217,0.0385708,0.00831148,0.0732201,0.0463373
Id_10,0.0155205,0.0400102,0.0452707,0.0391019,0.0317995,0.0375616,0.0160915,0.0336235,0.0373324,0.878875,0.0293041,0.043198,0.0393664,0.035038,0.0386604,0.0385581,0.050405,0.0331365,0.0480597,0.0757379,0.0438393,0.049266,0.022086,0.0534168,0.0269586,0.03055,0.0529198,0.0308575,0.0521085,0.0134673,0.0411608,0.00855304,0.0396346,0.425155,0.0347703,0.0364649,0.0756702,0.0160293,0.0323392,0.0544464,0.0569971,0.0196136,0.0107251,0.0153656,0.0345739,0.0396473,0.0199739,0.0972915,0.0948825,0.0576873
